1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,2,1,1
37,2,1,1
38,2,1,1
39,2,1,1
40,3,1,1
41,3,2,2
42,3,2,2
43,3,2,2
44,3,2,2
45,3,2,2
46,4,3,3
47,4,3,3
48,4,3,3
49,4,3,3
50,4,3,3
51,4,4,4
52,4,4,4
53,5,4,4
54,5,4,4
55,5,4,4
56,5,4,4
57,5,4,4
58,5,5,5
59,5,5,5
60,5,5,5
61,5,5,5
62,5,5,5
63,5,5,5
64,6,5,5
65,6,5,5
66,6,5,5
67,6,5,5
68,6,5,5
69,6,5,5
70,6,5,5
71,7,6,5
72,7,6,6
73,7,6,6
74,7,6,6
75,7,6,6
76,8,6,6
77,8,7,6
78,8,7,7
79,8,7,7
80,8,7,7
81,8,7,7
82,8,7,7
83,8,8,7
84,8,8,8
85,8,8,8
86,8,8,8
87,8,8,8
88,8,8,8
89,8,8,8
90,8,8,8
91,9,8,8
92,9,8,8
93,9,8,8
94,9,8,8
95,9,8,8
96,9,8,8
97,9,8,8
98,9,8,8
99,9,8,8
100,9,9,8
